query,normalized_query,page,clicks,impressions,ctr,position,query_intent_guess,query_theme_guess,mapped_route_guess,mapped_page_type_guess,mapping_confidence,notes
gevelisolatie rotterdam,gevelisolatie rotterdam,https://bm-klus-bv.nl/onze-werken/,0,83,0,49.24,commercial_investigative,core_isolation,/onze-werken/,archive,high,
gevelisolatie rotterdam,gevelisolatie rotterdam,https://bm-klus-bv.nl/onze-werken/rotterdam-julianastraat-aanbouw-isolatie-4cm-2026/,0,1,0,8,commercial_investigative,core_isolation,/onze-werken/rotterdam-julianastraat-aanbouw-isolatie-4cm-2026/,project,high,
gevelisolatie stucwerk,gevelisolatie stucwerk,https://bm-klus-bv.nl/buiten-stucwerk/,0,1,0,4,commercial_investigative,stuc_crepi,/buiten-stucwerk/,service,high,
gevelisolatie vergelijken,gevelisolatie vergelijken,https://bm-klus-bv.nl/gevelisolatie/,0,1,0,91,commercial,core_isolation,/gevelisolatie/,service,high,
gevelisolatie vlaardingen,gevelisolatie vlaardingen,https://bm-klus-bv.nl/gevelisolatie-woning-vlaardingen-10cm-sierpleister/,0,1,0,7,commercial_investigative,core_isolation,/gevelisolatie-woning-vlaardingen-10cm-sierpleister/,,low,
gevelisolatie vlaardingen,gevelisolatie vlaardingen,https://bm-klus-bv.nl/onze-werken/,0,3,0,29.67,commercial_investigative,core_isolation,/onze-werken/,archive,high,
gevelisolatie zoetermeer,gevelisolatie zoetermeer,https://bm-klus-bv.nl/gevelisolatie/,0,440,0,87.87,commercial_investigative,core_isolation,/gevelisolatie/,service,high,
gevelpleisters,gevelpleisters,https://bm-klus-bv.nl/gevelisolatie/afwerkingen/,0,1,0,92,commercial_investigative,stuc_crepi,/gevelisolatie/afwerkingen/,cluster,high,
gevelrenovatie bedrijf,gevelrenovatie bedrijf,https://bm-klus-bv.nl/,0,1,0,41,commercial_investigative,other,/,home,high,
gevelrenovatie met folie in rotterdam,gevelrenovatie met folie in rotterdam,https://bm-klus-bv.nl/,0,461,0,23.73,commercial_investigative,other,/,home,high,
gevelrenovatie rotterdam,gevelrenovatie rotterdam,https://bm-klus-bv.nl/,0,2,0,6,commercial_investigative,other,/,home,high,
gevelrenovatie vlaardingen,gevelrenovatie vlaardingen,https://bm-klus-bv.nl/onze-werken/vlaardingen-gevelisolatie-6cm-sierpleister-2024/,0,1,0,59,commercial_investigative,other,/onze-werken/vlaardingen-gevelisolatie-6cm-sierpleister-2024/,project,high,
gevelrestauratie rotterdam,gevelrestauratie rotterdam,https://bm-klus-bv.nl/,0,2,0,33.5,commercial_investigative,other,/,home,high,
gevels schilderen,gevels schilderen,https://bm-klus-bv.nl/gevel-schilderen/,0,3,0,44.67,commercial_investigative,stuc_crepi,/gevel-schilderen/,service,high,
gevelschilderwerken,gevelschilderwerken,https://bm-klus-bv.nl/gevel-schilderen/,0,11,0,7.36,commercial_investigative,stuc_crepi,/gevel-schilderen/,service,high,
gevelspecialist rotterdam,gevelspecialist rotterdam,https://bm-klus-bv.nl/,0,6,0,97.83,commercial_investigative,other,/,home,high,
gevelstuc,gevelstuc,https://bm-klus-bv.nl/buiten-stucwerk/,0,1,0,4,commercial_investigative,stuc_crepi,/buiten-stucwerk/,service,high,
gevelstucwerk,gevelstucwerk,https://bm-klus-bv.nl/buiten-stucwerk/,0,1,0,2,commercial_investigative,stuc_crepi,/buiten-stucwerk/,service,high,
grof stucwerk,grof stucwerk,https://bm-klus-bv.nl/buiten-stucwerk/,0,1,0,98,commercial_investigative,stuc_crepi,/buiten-stucwerk/,service,high,
grof stucwerk buiten,grof stucwerk buiten,https://bm-klus-bv.nl/buiten-stucwerk/,0,4,0,21.5,commercial_investigative,stuc_crepi,/buiten-stucwerk/,service,high,
grof stucwerk buitenmuur,grof stucwerk buitenmuur,https://bm-klus-bv.nl/buiten-stucwerk/,0,1,0,15,commercial_investigative,stuc_crepi,/buiten-stucwerk/,service,high,
